CountryIsoCode,Country,indexCode,index,dimension,indicatorCode,indicator,year,value,note
ARG,Argentina,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2019,11.124,
ARG,Argentina,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2020,11.144,
ARG,Argentina,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2021,11.144,
ARG,Argentina,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2022,11.144,
ARG,Argentina,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2015,76.76,
ARG,Argentina,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2016,76.308,
ARG,Argentina,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2017,76.833,
ARG,Argentina,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2018,76.999,
ARG,Argentina,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2019,77.284,
ARG,Argentina,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2020,75.892,
ARG,Argentina,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2021,75.39,
ARG,Argentina,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2022,76.064,
ARG,Argentina,HDI,Human Development Index,,hdi,Human Development Index (value),2015,0.85,
ARG,Argentina,HDI,Human Development Index,,hdi,Human Development Index (value),2016,0.848,
ARG,Argentina,HDI,Human Development Index,,hdi,Human Development Index (value),2017,0.853,
ARG,Argentina,HDI,Human Development Index,,hdi,Human Development Index (value),2018,0.852,
ARG,Argentina,HDI,Human Development Index,,hdi,Human Development Index (value),2019,0.853,
ARG,Argentina,HDI,Human Development Index,,hdi,Human Development Index (value),2020,0.841,
ARG,Argentina,HDI,Human Development Index,,hdi,Human Development Index (value),2021,0.844,
ARG,Argentina,HDI,Human Development Index,,hdi,Human Development Index (value),2022,0.849,
ARG,Argentina,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2015,23506.881,
ARG,Argentina,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2016,22692.464,
ARG,Argentina,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2017,22994.826,
ARG,Argentina,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2018,21922.972,
ARG,Argentina,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2019,21205.471,
ARG,Argentina,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2020,19183.115,
ARG,Argentina,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2021,21093.474,
ARG,Argentina,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2022,22047.971,
ARG,Argentina,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2015,17.585,
ARG,Argentina,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2016,17.858,
ARG,Argentina,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2017,17.843,
ARG,Argentina,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2018,17.858,
ARG,Argentina,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2019,18.086,
ARG,Argentina,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2020,18.361,
ARG,Argentina,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2021,18.98,
ARG,Argentina,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2022,18.98,
